CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Time
CI1466,exponential,TL,2,471,757,23996.1568688116,38567.0716553935,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,3,492,1171,25066.0492132809,59659.2350177884,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,4,494,1291,25167.943722278,65772.905557613,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,5,496,1008,25269.838231275,51354.8325345267,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,6,560,978,28530.4625191815,49826.4148995705,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,7,573,894,29192.7768276625,45546.8455216933,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,8,619,689,31536.3505345953,35102.6583494929,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,9,620,927,31587.2977890938,47228.1049201451,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,10,639,897,32555.295624566,45699.6872851889,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,11,647,1405,32962.8736605543,71580.8925704464,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,12,658,585,33523.2934600383,29804.1438816449,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,13,707,997,36019.7089304666,50794.4127350428,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,14,750,465,38210.4408739038,23690.4733418203,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,15,755,1434,38465.1771463965,73058.362950904,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,16,763,607,38872.7551823848,30924.9834806128,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,17,766,1403,39025.5969458804,71478.9980614493,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,18,766,641,39025.5969458804,32657.1901335631,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,19,796,1417,40554.0145808365,72192.2596244289,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,20,812,1369,41369.1706528132,69746.791408499,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,21,827,826,42133.3794702912,42082.4322157927,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,22,829,485,42235.2739792883,24709.4184317911,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,23,829,519,42235.2739792883,26441.6250847414,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,24,837,918,42642.8520152766,46769.5796296582,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,25,840,1475,42795.6937787722,75147.2003853441,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,26,840,686,42795.6937787722,34949.8165859973,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,27,841,605,42846.6410332708,30823.0889716157,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,28,846,1088,43101.3773057635,55430.6128944097,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,29,862,1332,43916.5333777401,67861.7429920531,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,30,874,740,44527.9004317225,37700.9683289184,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,31,878,1187,44731.6894497167,60474.391089765,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,32,884,342,45037.3729767079,17423.9610385001,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,33,899,544,45801.581794186,27715.3064472049,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,34,914,516,46565.7906116641,26288.7833212458,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,35,918,619,46769.5796296582,31536.3505345953,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,36,919,1214,46820.5268841568,61849.9669612256,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,37,922,1492,46973.3686476524,76013.3037118192,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,38,928,883,47279.0521746436,44986.4257222094,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,39,932,1349,47482.8411926378,68727.8463185283,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,40,934,1381,47584.7357016348,70358.1584624815,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,41,943,779,48043.2609921217,39687.9112543614,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,42,944,823,48094.2082466202,41929.5904522971,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,43,950,1148,48399.8917736115,58487.448164322,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,44,967,1386,49265.9951000866,70612.8947349742,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,45,976,893,49724.5203905735,45495.8982671948,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,46,984,1126,50132.0984265618,57366.6085653542,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,47,988,1160,50335.8874445559,59098.8152183045,NaN,NaN,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,48,989,1490,50386.8346990544,75911.4092028222,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,49,994,1173,50641.5709715471,59761.1295267855,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,50,1013,1069,51609.5688070194,54462.6150589375,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,51,1036,713,52781.3556604858,36325.3924574579,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,52,1037,1025,52832.3029149843,52220.9358610018,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,53,1043,1259,53137.9864419755,64142.5934136598,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,54,1053,1429,53647.4589869609,72803.6266784113,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,55,1065,688,54258.8260409434,35051.7110949944,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,56,1076,983,54819.2458404273,50081.1511720632,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,57,1096,503,55838.1909303981,25626.4690127648,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,58,1111,1111,56602.3997478761,56602.3997478761,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,59,1127,561,57417.5558198527,28581.40977368,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,60,1142,597,58181.7646373308,30415.5109356274,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,61,1174,1310,59812.076781284,66740.9033930853,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,62,1186,750,60423.4438352665,38210.4408739038,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,63,1186,852,60423.4438352665,43407.0608327547,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,64,1199,513,61085.7581437475,26135.9415577502,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,65,1221,1171,62206.5977427153,59659.2350177884,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,66,1229,1013,62614.1757787037,51609.5688070194,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,67,1267,930,64550.1714496481,47380.9466836407,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,68,1284,603,65416.2747761233,30721.1944626186,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,69,1309,1387,66689.9561385867,70663.8419894727,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,70,1311,625,66791.8506475838,31842.0340615865,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,71,1341,1030,68320.26828254,52475.6721334945,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,72,1389,703,70765.7364984698,35815.9199124725,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,73,1402,1197,71428.0508069508,60983.8636347504,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,74,1403,867,71478.9980614493,44171.2696502328,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,75,1411,1105,71886.5760974376,56296.7162208849,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,76,1416,797,72141.3123699303,40604.9618353351,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,77,1425,1295,72599.8376604172,65976.6945756072,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,78,1486,945,75707.620184828,48145.1555011188,0,0,50.9472544985384,35,5.66666666666667
CI1466,exponential,TL,1,399,1272,20327.9545449168,64804.9077221408,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,2,471,757,23996.1568688116,38567.0716553935,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,3,492,1171,25066.0492132809,59659.2350177884,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,4,494,1291,25167.943722278,65772.905557613,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,5,496,1008,25269.838231275,51354.8325345267,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,6,560,978,28530.4625191815,49826.4148995705,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,7,573,894,29192.7768276625,45546.8455216933,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,8,619,689,31536.3505345953,35102.6583494929,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,9,620,927,31587.2977890938,47228.1049201451,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,10,639,897,32555.295624566,45699.6872851889,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,11,647,1405,32962.8736605543,71580.8925704464,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,12,658,585,33523.2934600383,29804.1438816449,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,13,707,997,36019.7089304666,50794.4127350428,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,14,750,465,38210.4408739038,23690.4733418203,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,15,755,1434,38465.1771463965,73058.362950904,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,16,763,607,38872.7551823848,30924.9834806128,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,17,766,1403,39025.5969458804,71478.9980614493,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,18,766,641,39025.5969458804,32657.1901335631,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,19,796,1417,40554.0145808365,72192.2596244289,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,20,812,1369,41369.1706528132,69746.791408499,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,21,827,826,42133.3794702912,42082.4322157927,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,22,829,485,42235.2739792883,24709.4184317911,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,23,829,519,42235.2739792883,26441.6250847414,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,24,837,918,42642.8520152766,46769.5796296582,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,25,840,1475,42795.6937787722,75147.2003853441,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,26,840,686,42795.6937787722,34949.8165859973,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,27,841,605,42846.6410332708,30823.0889716157,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,28,846,1088,43101.3773057635,55430.6128944097,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,29,862,1332,43916.5333777401,67861.7429920531,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,30,874,740,44527.9004317225,37700.9683289184,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,31,878,1187,44731.6894497167,60474.391089765,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,32,884,342,45037.3729767079,17423.9610385001,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,33,899,544,45801.581794186,27715.3064472049,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,34,914,516,46565.7906116641,26288.7833212458,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,35,918,619,46769.5796296582,31536.3505345953,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,36,919,1214,46820.5268841568,61849.9669612256,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,37,922,1492,46973.3686476524,76013.3037118192,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,38,928,883,47279.0521746436,44986.4257222094,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,39,932,1349,47482.8411926378,68727.8463185283,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,40,934,1381,47584.7357016348,70358.1584624815,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,41,943,779,48043.2609921217,39687.9112543614,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,42,944,823,48094.2082466202,41929.5904522971,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,43,950,1148,48399.8917736115,58487.448164322,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,44,967,1386,49265.9951000866,70612.8947349742,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,45,976,893,49724.5203905735,45495.8982671948,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,46,984,1126,50132.0984265618,57366.6085653542,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,47,988,1160,50335.8874445559,59098.8152183045,NaN,NaN,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,48,989,1490,50386.8346990544,75911.4092028222,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,49,994,1173,50641.5709715471,59761.1295267855,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,50,1013,1069,51609.5688070194,54462.6150589375,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,51,1036,713,52781.3556604858,36325.3924574579,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,52,1037,1025,52832.3029149843,52220.9358610018,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,53,1043,1259,53137.9864419755,64142.5934136598,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,54,1053,1429,53647.4589869609,72803.6266784113,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,55,1065,688,54258.8260409434,35051.7110949944,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,56,1076,983,54819.2458404273,50081.1511720632,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,57,1096,503,55838.1909303981,25626.4690127648,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,58,1111,1111,56602.3997478761,56602.3997478761,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,59,1127,561,57417.5558198527,28581.40977368,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,60,1142,597,58181.7646373308,30415.5109356274,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,61,1174,1310,59812.076781284,66740.9033930853,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,62,1186,750,60423.4438352665,38210.4408739038,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,63,1186,852,60423.4438352665,43407.0608327547,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,64,1199,513,61085.7581437475,26135.9415577502,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,65,1221,1171,62206.5977427153,59659.2350177884,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,66,1229,1013,62614.1757787037,51609.5688070194,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,67,1267,930,64550.1714496481,47380.9466836407,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,68,1284,603,65416.2747761233,30721.1944626186,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,69,1309,1387,66689.9561385867,70663.8419894727,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,70,1311,625,66791.8506475838,31842.0340615865,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,71,1341,1030,68320.26828254,52475.6721334945,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,72,1389,703,70765.7364984698,35815.9199124725,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,73,1402,1197,71428.0508069508,60983.8636347504,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,74,1403,867,71478.9980614493,44171.2696502328,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,75,1411,1105,71886.5760974376,56296.7162208849,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,76,1416,797,72141.3123699303,40604.9618353351,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,77,1425,1295,72599.8376604172,65976.6945756072,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,78,1486,945,75707.620184828,48145.1555011188,0,0,50.9472544985384,36,5.83333333333333
CI1466,exponential,TL,1,399,1272,20327.9545449168,64804.9077221408,0,0,50.9472544985384,37,6
CI1466,exponential,TL,2,471,757,23996.1568688116,38567.0716553935,0,0,50.9472544985384,37,6
CI1466,exponential,TL,3,492,1171,25066.0492132809,59659.2350177884,0,0,50.9472544985384,37,6
CI1466,exponential,TL,4,494,1291,25167.943722278,65772.905557613,0,0,50.9472544985384,37,6
CI1466,exponential,TL,5,496,1008,25269.838231275,51354.8325345267,0,0,50.9472544985384,37,6
CI1466,exponential,TL,6,560,978,28530.4625191815,49826.4148995705,0,0,50.9472544985384,37,6
CI1466,exponential,TL,7,573,894,29192.7768276625,45546.8455216933,0,0,50.9472544985384,37,6
CI1466,exponential,TL,8,619,689,31536.3505345953,35102.6583494929,0,0,50.9472544985384,37,6
CI1466,exponential,TL,9,620,927,31587.2977890938,47228.1049201451,0,0,50.9472544985384,37,6
CI1466,exponential,TL,10,639,897,32555.295624566,45699.6872851889,0,0,50.9472544985384,37,6
CI1466,exponential,TL,11,647,1405,32962.8736605543,71580.8925704464,0,0,50.9472544985384,37,6
CI1466,exponential,TL,12,658,585,33523.2934600383,29804.1438816449,0,0,50.9472544985384,37,6
CI1466,exponential,TL,13,707,997,36019.7089304666,50794.4127350428,0,0,50.9472544985384,37,6
CI1466,exponential,TL,14,750,465,38210.4408739038,23690.4733418203,0,0,50.9472544985384,37,6
CI1466,exponential,TL,15,755,1434,38465.1771463965,73058.362950904,0,0,50.9472544985384,37,6
CI1466,exponential,TL,16,763,607,38872.7551823848,30924.9834806128,0,0,50.9472544985384,37,6
CI1466,exponential,TL,17,766,1403,39025.5969458804,71478.9980614493,0,0,50.9472544985384,37,6
CI1466,exponential,TL,18,766,641,39025.5969458804,32657.1901335631,0,0,50.9472544985384,37,6
CI1466,exponential,TL,19,796,1417,40554.0145808365,72192.2596244289,0,0,50.9472544985384,37,6
CI1466,exponential,TL,20,812,1369,41369.1706528132,69746.791408499,0,0,50.9472544985384,37,6
CI1466,exponential,TL,21,827,826,42133.3794702912,42082.4322157927,0,0,50.9472544985384,37,6
CI1466,exponential,TL,22,829,485,42235.2739792883,24709.4184317911,0,0,50.9472544985384,37,6
CI1466,exponential,TL,23,829,519,42235.2739792883,26441.6250847414,0,0,50.9472544985384,37,6
